site,month,2018,2019,temp.diff,,,2018,2019,sal.diff
IRV,Jan,0.384268914,2.097702009,-1.713433095,,,5.537053091,2.528397177,3.008655914
IRV,Feb,2.231456208,1.395175675,0.836280533,,,2.655595238,1.455570676,1.200024562
IRV,Mar,4.388004042,4.448345104,-0.060341062,,,3.15640793,2.018927203,1.137480727
IRV,Apr,8.265459083,10.70304102,-2.437581937,,,1.907184028,1.251874116,0.655309912
IRV,May,16.60781495,16.20622896,0.40158599,,,3.093009741,0.901613988,2.191395753
IRV,Jun,22.37454429,21.76452621,0.61001808,,,6.93194927,3.082853176,3.849096094
IRV,Jul,26.62531021,26.80117568,-0.17586547,,,8.711195835,6.499563319,2.211632516
IRV,Aug,27.39984335,26.8327389,0.56710445,,,5.331463758,8.005551817,-2.674088059
IRV,Sep,24.60252277,22.92003472,1.68248805,,,5.973150097,9.421527778,-3.448377681
IRV,Oct,16.503585,16.40550363,0.09808137,,,2.436738864,7.736656282,-5.299917418
IRV,Nov,9.645138214,8.01370576,1.631432454,,,1.589785417,3.127906977,-1.53812156
IRV,Dec,4.031818812,2.417475345,1.614343467,,,1.987949618,2.908649289,-0.920699671
HH,Jan,,,,,,,,
HH,Feb,,,,,,,,
HH,Mar,,,,,,,,
HH,Apr,,,,,,,,
HH,May,18.6,,,,,4.1,,
HH,Jun,20.85,21.45,-0.6,,,10.45,3.1,7.35
HH,Jul,31.1,28.8,2.3,,,9.75,8.8,0.95
HH,Aug,31.3,,,,,5.5,,
HH,Sep,,24.2,,,,,9.4,
HH,Oct,20.9,,,,,2.8,,
HH,Nov,,12.9,,,,,15.7,
HH,Dec,,,,,,,,
SB,Jan,,,,,,,,
SB,Feb,,,,,,,,
SB,Mar,4.895,,,,,10.985,,
SB,Apr,5.695,,,,,11.99,,
SB,May,15.76666667,16.0388364,-0.27216973,,,9.138333333,2.017794118,7.120539215
SB,Jun,20.09666667,20.9970684,-0.90040173,,,12.66,5.292658228,7.367341772
SB,Jul,25.8386,25.9557616,-0.1171616,,,13.04050456,9.603481034,3.437023526
SB,Aug,26.9823,26.18704461,0.79525539,,,6.289470489,11.7236376,-5.434167111
SB,Sep,24.3159,23.07302824,1.24287176,,,8.575415942,12.98905542,-4.413639478
SB,Oct,17.9552,18.44166876,-0.48646876,,,4.595057272,11.19095936,-6.595902088
SB,Nov,,10.21758519,,,,,4.901094562,
SB,Dec,,5.553636364,,,,,4.536280488,
RED,Jan,1.425,,,,,22.82,,
RED,Feb,,,,,,,,
RED,Mar,,,,,,,,
RED,Apr,5.89,,,,,20.215,,
RED,May,16.59108,,,,,18.75027,,
RED,Jun,19.31333,17.8,1.51333,,,22.30579,20.7,1.60579
RED,Jul,23.0718,22.865,0.2068,,,23.96653,23.5675,0.39903
RED,Aug,24.68822,23.91166667,0.77655333,,,19.70314,24.9266667,-5.2235267
RED,Sep,23.51531,22.8925,0.62281,,,20.51117,24.265,-3.75383
RED,Oct,21.44329,16.985,4.45829,,,18.37734,23.945,-5.56766
RED,Nov,,11.655,,,,,20.785,
RED,Dec,,7.805,,,,,21.255,
PGB,Jan,1.345,,,,,28.38,,
PGB,Feb,,,,,,,,
PGB,Mar,,,,,,,,
PGB,Apr,7.1875,,,,,26.745,,
PGB,May,17.13083333,,,,,25.34083333,,
PGB,Jun,20.66666667,21.25,-0.58333333,,,26.1575,22.95,3.2075
PGB,Jul,25.670625,26.53438889,-0.86376389,,,26.751875,26.12789444,0.62398056
PGB,Aug,28.205,26.29333333,1.91166667,,,25.02,26.60333333,-1.58333333
PGB,Sep,23.93,23.254,0.676,,,26.2525,27.089,-0.8365
PGB,Oct,21.3525,16.9725,4.38,,,25.5575,27.44625,-1.88875
PGB,Nov,,,,,,,,
PGB,Dec,,5.5725,,,,,25.6175,
KCC,Jan,3.02,,,,,29.14,,
KCC,Feb,,,,,,,,
KCC,Mar,,,,,,,,
KCC,Apr,6.96,,,,,26.9,,
KCC,May,18.24477273,,,,,23.34727273,,
KCC,Jun,20.34392562,19.05,1.29392562,,,23.70595041,23.8,-0.09404959
KCC,Jul,24.25111413,24.60289643,-0.3517823,,,21.94771739,27.91367857,-5.96596118
KCC,Aug,24.88123989,24.35666667,0.52457322,,,21.39008086,28.42833333,-7.03825247
KCC,Sep,23.00852778,22.623,0.38552778,,,20.36463889,28.128,-7.76336111
KCC,Oct,21.00666667,16.73666667,4.27,,,19.03481481,28.84333333,-9.80851852
KCC,Nov,,9.855,,,,,30.09,
KCC,Dec,,,,,,,,